roomID,rating,latitude,longitude,imgUrl,price,locationMap,roomUrl,name,description,address,
4917556,5,1.3129895,103.876059,https://a0.muscache.com/im/pictures/62599881/dbefcb51_original.jpg?aki_policy=large,169,https://maps.googleapis.com/maps/api/staticmap?maptype=roadmap&markers=1.3129895003410064%2C103.87605899589323&size=480x320&zoom=15&client=gme-airbnbinc&channel=monorail-prod&signature=u_yuq-hwnq32cwEpwcPo006Ga64%3D,https://www.airbnb.com.sg/rooms/4917556,Brand New Apartment Near the City,"Mins away from the CBD and a foodie paradise with a host of 24/7 eateries and restaurants. 8-10 mins walk to kallang MRT.  You will find countless options for entertainment, dining and rejuvenation within minutes of your abode.","Singapore, Singapore 388792, Singapore",
11088631,5,1.314860387,103.8943795,https://a0.muscache.com/im/pictures/d8fb9e8d-bd64-4b18-91a5-fedc38aec456.jpg?aki_policy=large,141,https://maps.googleapis.com/maps/api/staticmap?maptype=roadmap&markers=1.3148603874454443%2C103.89437950388881&size=480x320&zoom=15&client=gme-airbnbinc&channel=monorail-prod&signature=G9ICSWB32vorn9URK4zgOkyCiOc%3D,https://www.airbnb.com.sg/rooms/11088631,Luxurious condo near city centre,"Plan the perfect staycation or vacation in Singapore in a new and luxurious, 1-bedroom condo! Everything is superbly located nearby - a large new shopping centre just downstairs, 5 min away from the metro, and 15 min away from the city centre!","Singapore, 436950, Singapore",
2009135,5,1.312218273,103.8953588,https://a0.muscache.com/im/pictures/90793183/e93d4add_original.jpg?aki_policy=large,98,https://maps.googleapis.com/maps/api/staticmap?maptype=roadmap&markers=1.3122182730550305%2C103.89535877843892&size=480x320&zoom=15&client=gme-airbnbinc&channel=monorail-prod&signature=Rsc4LKab5gEoyR4BfwNrgWDrSRo%3D,https://www.airbnb.com.sg/rooms/2009135,Cozy Luxurious Condo in Singapore,"Our modern and cozy condominium with great view, comfortably located 15 minutes walk from Paya Lebar MRT (train) station and 5 minutes walk to bus stops. Facilities: Huge swimming pool, gymnasium, kids arena, Jacuzzi and sauna.","Singapore, 439853, Singapore",
5827713,5,1.344950699,103.9604276,https://a0.muscache.com/im/pictures/73639429/b23f1a71_original.jpg?aki_policy=large,70,https://maps.googleapis.com/maps/api/staticmap?maptype=roadmap&markers=1.3449506988209294%2C103.96042758926976&size=480x320&zoom=15&client=gme-airbnbinc&channel=monorail-prod&signature=WgJXiRujGk5NkobVOt0FW9Bhswc%3D,https://www.airbnb.com.sg/rooms/5827713,The Private Sanctuary,Quiet neighborhood with tranquil garden setting. Only 10 mins bus ride to airport. Walking distance to the SUTD and Changi Business Park. Well connected to MRT and shopping areas.,"Singapore, 488333, Singapore",
4069940,5,1.308832617,103.8405954,https://a0.muscache.com/im/pictures/61317925/193c2271_original.jpg?aki_policy=large,150,https://maps.googleapis.com/maps/api/staticmap?maptype=roadmap&markers=1.308832616832945%2C103.84059542554441&size=480x320&zoom=15&client=gme-airbnbinc&channel=monorail-prod&signature=nAfPNloswHuYlk2t4h4SPCOxEKg%3D,https://www.airbnb.com.sg/rooms/4069940,Orchard Amazing Colonial ****Room****,"Amazing Clean Room in an Heritage Apartment which is 2500 sqft, located 10 min walk from Paragon shopping mall on Orchard and 5 min walk to the closest MRT Newton. The Newton Food Court is only 3 min walk away. The Room is 430 sqft has it's own private ensuite bathroom and balcony(not shared).  We Live here so you will share wYou have full access to the living area and kitchen.  So you are welcome to use the cooker, fridge and all amenities as desired. There is also access to the balcony","Singapore, 228577, Singapore",
5797755,4.5,1.30866647,103.9052812,https://a0.muscache.com/im/pictures/dd7c6786-8c16-4592-9a82-1b15e97ef1a0.jpg?aki_policy=large,90,https://maps.googleapis.com/maps/api/staticmap?maptype=roadmap&markers=1.3086664701783146%2C103.9052811511153&size=480x320&zoom=15&client=gme-airbnbinc&channel=monorail-prod&signature=pk6iR8BHZS0XTqQ2JYTEZmQqbOo%3D,https://www.airbnb.com.sg/rooms/5797755,"Lovely & comfy apt, mins to city","Lovely studio apartment along Joo Chiat Road, Katong/Marine ParadePool and gym availableShort walk to mall, supermarket, eateries, cinema and beach3 mins walk to nearest bus stop.Nearest MRT is 10 mins away by bus24 hours self check-in","Singapore, 427623, Singapore",
540039,5,1.336179039,103.8684645,https://a0.muscache.com/im/pictures/7303685/4f2f87be_original.jpg?aki_policy=large,110,https://maps.googleapis.com/maps/api/staticmap?maptype=roadmap&markers=1.3361790389317199%2C103.86846452991122&size=480x320&zoom=15&client=gme-airbnbinc&channel=monorail-prod&signature=LGH8rBLHPZJBzUvubQbGGU6oQ0I%3D,https://www.airbnb.com.sg/rooms/540039,Quaint Resort Studio in the Forest,"A resort studio size with your own private access and everyday housekeeping and breakfast (bread with Jam, peanut butter, butter, kaya with coffee or tea).  Laundry is free every 3rd day of your stay, it will take up to 36 hours to return them.","Singapore, 357920, Singapore",
4108082,4.5,1.293115948,103.829794,https://a0.muscache.com/im/pictures/53709691/e13cd291_original.jpg?aki_policy=large,218,https://maps.googleapis.com/maps/api/staticmap?maptype=roadmap&markers=1.2931159476212244%2C103.82979395260669&size=480x320&zoom=15&client=gme-airbnbinc&channel=monorail-prod&signature=fSfNEV2l7t8RJ8DnnFZKHEV-EOU%3D,https://www.airbnb.com.sg/rooms/4108082,Central Haven ,"Located  between Orchard ,CBD and Chinatown,this snazzy apartment is  perfect for travelers that seek work and pleasure. Footsteps away from Great World City Mall,restaurants, cafes and local food center, it's a perfect setup to enjoy Singapore at your doorstep.","Singapore, Singapore",
241508,5,1.324581673,103.9116273,https://a0.muscache.com/im/pictures/140a1b9f-dcb3-46e1-bce6-b81e256b1724.jpg?aki_policy=large,131,https://maps.googleapis.com/maps/api/staticmap?maptype=roadmap&markers=1.3245816726492217%2C103.91162729415639&size=480x320&zoom=15&client=gme-airbnbinc&channel=monorail-prod&signature=-TwDXqNRNZwy00QtJdrvWrwyTIU%3D,https://www.airbnb.com.sg/rooms/241508,"stay at The Breezy East ""Plumeria""","Stay in a large house with ample living room space in a leafy residential suburb east of the city, 20 minutes to Changi Airport and Expo mrt stations, yet speedily connected to the city via  Kembangan mrt which is less than 300 metres away.","Singapore, Singapore",
3753251,4.5,1.295325316,103.8379749,https://a0.muscache.com/im/pictures/51729791/b0a06a1e_original.jpg?aki_policy=large,150,https://maps.googleapis.com/maps/api/staticmap?maptype=roadmap&markers=1.2953253164119722%2C103.837974868427&size=480x320&zoom=15&client=gme-airbnbinc&channel=monorail-prod&signature=cx7qFUP187TcdMR_VSFt4kzfsNM%3D,https://www.airbnb.com.sg/rooms/3753251,Relaxed & Spacious Studio w JACUZZI,"Modern &  Spacious Studio Apartment in heart of Singapore. Prime location- provides easy access to CBD, tourists spots and the iconic shopping belt of Orchard Road which offers an exciting blend of entertainment, retail and dining experiences.","Singapore, 238344, Singapore",
